"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"11934",2,2,0,2,1,2,0,1,3,1,"Top2a"
"11935",5,4,3,6,7,2,12,5,4,3,"Top2b"
"11936",0,0,0,2,0,0,0,0,0,0,"Top3a"
"11937",2,1,2,0,0,1,1,1,4,2,"Top3b"
"11938",1,2,3,0,1,1,2,1,1,1,"Topbp1"
"11939",1,4,5,0,0,1,1,2,2,5,"Topors"
"11940",3,0,0,7,4,6,2,1,1,2,"Tor1a"
"11941",3,0,2,2,3,1,1,0,2,5,"Tor1aip1"
"11942",4,2,5,4,3,5,6,4,1,3,"Tor1aip2"
"11943",4,3,5,0,1,5,4,3,4,4,"Tor1b"
"11944",2,2,4,2,4,1,3,3,3,1,"Tor2a"
"11945",1,3,0,1,2,4,1,1,0,0,"Tor3a"
"11946",0,0,1,0,1,0,1,0,0,1,"Tox"
"11947",0,1,0,1,0,0,0,2,0,0,"Tox2"
"11948",1,2,0,1,1,0,0,0,1,2,"Tox3"
"11949",3,0,3,5,3,1,1,2,0,1,"Tox4"
"11950",1,0,3,1,1,0,2,0,3,1,"Tpbg"
"11951",2,1,4,5,4,1,0,1,3,0,"Tpcn1"
"11952",0,0,0,3,1,1,0,1,0,0,"Tpcn2"
"11953",7,7,1,0,6,5,8,2,2,2,"Tpd52"
"11954",4,1,0,0,0,1,5,3,1,1,"Tpd52l1"
"11955",3,5,7,3,9,7,0,6,3,6,"Tpd52l2"
"11956",7,11,14,16,9,8,24,19,10,8,"Tpi1"
"11957",0,0,1,0,1,5,1,0,1,0,"Tpk1"
"11958",16,4,6,10,7,10,9,13,9,11,"Tpm1"
"11959",4,2,11,3,6,10,9,7,8,9,"Tpm3"
"11960",11,1,20,6,0,19,12,16,16,3,"Tpm4"
"11961",0,0,0,0,0,0,0,2,0,0,"Tpmt"
"11962",6,8,8,7,3,5,9,3,8,5,"Tpp1"
"11963",0,4,2,2,6,2,2,1,1,1,"Tpp2"
"11964",11,7,7,4,9,7,7,14,7,10,"Tppp"
"11965",5,9,4,7,8,9,5,7,9,13,"Tppp3"
"11966",2,2,0,2,1,4,1,0,2,3,"Tpr"
"11967",0,3,0,4,1,5,1,5,3,3,"Tpra1"
"11968",10,19,25,15,9,7,15,21,21,20,"Tprgl"
"11969",4,7,3,4,0,2,7,1,2,2,"Tprkb"
"11970",5,6,3,4,3,0,1,1,9,7,"Tprn"
"11971",3,2,7,2,6,4,2,2,2,2,"Tpst1"
"11972",4,8,2,7,5,6,3,6,14,4,"Tpst2"
"11973",4,5,6,9,2,15,18,13,8,5,"Tpt1"
"11974",0,0,0,0,0,0,0,0,0,1,"Tpt1p"
"11975",0,0,3,0,0,0,3,0,0,0,"Tpx2"
"11976",8,18,24,15,14,8,9,7,15,8,"Tra2a"
"11977",7,2,0,4,5,7,10,11,5,11,"Tra2b"
"11978",1,1,0,1,0,6,8,3,0,1,"Trabd"
"11979",0,0,3,0,1,0,3,3,1,0,"Tradd"
"11980",5,1,0,0,0,0,0,1,4,0,"Traf2"
"11981",2,1,2,10,8,0,2,2,1,7,"Traf3"
"11982",0,0,1,0,0,0,0,0,1,0,"Traf3ip1"
"11983",0,1,0,0,0,0,0,0,0,0,"Traf3ip3"
"11984",3,6,2,10,3,3,9,7,7,5,"Traf4"
"11985",0,0,1,1,1,1,0,0,2,0,"Traf5"
"11986",1,1,1,0,2,3,2,2,1,1,"Traf6"
"11987",9,1,3,8,0,2,11,5,4,8,"Traf7"
"11988",5,5,0,0,1,1,2,6,1,6,"Trafd1"
"11989",0,0,0,0,0,0,0,0,0,0,"Traip"
"11990",2,2,2,5,5,1,3,7,5,1,"Trak1"
"11991",10,11,15,2,10,10,8,11,8,9,"Trak2"
"11992",19,9,1,12,3,8,11,4,1,4,"Tram1"
"11993",0,2,1,1,4,1,6,1,2,0,"Tram1l1"
